idblk,row,col,xpos,ypos,ncol_per_row,is_on_edge
273,14,9,0.84977,-0.23096,24,0
274,14,10,0.84977,-0.18804,24,0
275,14,11,0.84977,-0.14511,24,0
276,14,12,0.84977,-0.10056,24,0
277,14,13,0.84977,-5.76E-02,24,0
278,14,14,0.84977,-0.01471,24,0
279,14,15,0.84977,0.02984,24,0
280,14,16,0.84977,0.07277,24,0
281,14,17,0.84977,0.1157,24,0
282,14,18,0.84977,0.16025,24,0
283,14,19,0.84977,0.20317,24,0
284,14,20,0.84977,0.2461,24,0
285,14,21,0.84977,0.29065,24,0
286,14,22,0.84977,0.33358,24,0
287,14,23,0.84977,0.3765,24,1
288,15,0,0.80685,-0.56357,24,1
289,15,1,0.80685,-0.52065,24,0
290,15,2,0.80685,-0.47772,24,0
291,15,3,0.80685,-0.43317,24,0
292,15,4,0.80685,-0.39024,24,0
293,15,5,0.80685,-0.34732,24,0
294,15,6,0.80685,-0.30277,24,0
295,15,7,0.80685,-0.25984,24,0
296,15,8,0.80685,-0.21691,24,0
297,15,9,0.80685,-0.17236,24,0
298,15,10,0.80685,-0.12944,24,0
299,15,11,0.80685,-0.08651,24,0
300,15,12,0.80685,-0.04196,24,0
301,15,13,0.80685,0.00097,24,0
302,15,14,0.80685,0.04389,24,0
303,15,15,0.80685,0.08844,24,0
304,15,16,0.80685,0.13137,24,0
305,15,17,0.80685,0.1743,24,0
306,15,18,0.80685,0.21885,24,0
307,15,19,0.80685,0.26177,24,0
308,15,20,0.80685,0.3047,24,0
309,15,21,0.80685,0.34925,24,0
310,15,22,0.80685,0.39218,24,0
311,15,23,0.80685,0.4351,24,1
312,16,0,0.76392,-0.56357,24,1
313,16,1,0.76392,-0.52065,24,0
314,16,2,0.76392,-0.47772,24,0
315,16,3,0.76392,-0.43317,24,0
316,16,4,0.76392,-0.39024,24,0
317,16,5,0.76392,-0.34732,24,0
318,16,6,0.76392,-0.30277,24,0
319,16,7,0.76392,-0.25984,24,0
320,16,8,0.76392,-0.21691,24,0
321,16,9,0.76392,-0.17236,24,0
322,16,10,0.76392,-0.12944,24,0
323,16,11,0.76392,-0.08651,24,0
324,16,12,0.76392,-0.04196,24,0
325,16,13,0.76392,0.00097,24,0
326,16,14,0.76392,0.04389,24,0
327,16,15,0.76392,0.08844,24,0
328,16,16,0.76392,0.13137,24,0
329,16,17,0.76392,0.1743,24,0
330,16,18,0.76392,0.21885,24,0
331,16,19,0.76392,0.26177,24,0
332,16,20,0.76392,0.3047,24,0
333,16,21,0.76392,0.34925,24,0
334,16,22,0.76392,0.39218,24,0
335,16,23,0.76392,0.4351,24,1
336,17,0,0.721,-0.56357,24,1
337,17,1,0.721,-0.52065,24,0
338,17,2,0.721,-0.47772,24,0
339,17,3,0.721,-0.43317,24,0
340,17,4,0.721,-0.39024,24,0
341,17,5,0.721,-0.34732,24,0
342,17,6,0.721,-0.30277,24,0
343,17,7,0.721,-0.25984,24,0
344,17,8,0.721,-0.21691,24,0
345,17,9,0.721,-0.17236,24,0
346,17,10,0.721,-0.12944,24,0
347,17,11,0.721,-0.08651,24,0
348,17,12,0.721,-0.04196,24,0
349,17,13,0.721,0.00097,24,0
350,17,14,0.721,0.04389,24,0
351,17,15,0.721,0.08844,24,0
352,17,16,0.721,0.13137,24,0
353,17,17,0.721,0.1743,24,0
354,17,18,0.721,0.21885,24,0
355,17,19,0.721,0.26177,24,0
356,17,20,0.721,0.3047,24,0
357,17,21,0.721,0.34925,24,0
358,17,22,0.721,0.39218,24,0
359,17,23,0.721,0.4351,24,1
360,18,0,0.67807,-0.56507,27,1
361,18,1,0.67807,-0.52215,27,0
362,18,2,0.67807,-0.47922,27,0
363,18,3,0.67807,-0.43467,27,0
364,18,4,0.67807,-0.39174,27,0
365,18,5,0.67807,-0.34882,27,0
366,18,6,0.67807,-0.30427,27,0
367,18,7,0.67807,-0.26134,27,0
368,18,8,0.67807,-0.21842,27,0
369,18,9,0.67807,-0.17386,27,0
370,18,10,0.67807,-0.13094,27,0
371,18,11,0.67807,-0.08801,27,0
372,18,12,0.67807,-0.04346,27,0
